               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.064122,            0.041121,            0.029247,             0.56307,             0.27551,             0.26287,             0.10432,            0.060795,            0.025401,            0.030219,            0.006436,            0.006436,            0.006436
                  38,            0.064096,            0.039643,            0.027429,             0.69408,             0.29057,             0.27836,             0.12638,            0.060269,            0.025098,            0.030161,            0.006337,            0.006337,            0.006337
                  39,            0.063658,            0.043718,            0.028534,             0.63447,             0.20463,             0.21378,            0.086976,            0.065612,            0.024901,            0.030524,            0.006238,            0.006238,            0.006238
                  40,            0.063295,            0.039315,             0.02776,             0.56967,             0.21955,             0.18821,            0.064716,            0.069107,            0.024365,            0.031208,            0.006139,            0.006139,            0.006139
                  41,            0.063361,            0.041779,            0.028373,             0.47052,              0.2448,            0.074591,            0.023941,            0.069183,            0.046144,            0.033322,             0.00604,             0.00604,             0.00604
                  42,            0.062606,            0.041159,            0.026691,             0.73363,             0.23427,             0.24107,             0.10535,            0.060475,            0.025664,            0.032171,            0.005941,            0.005941,            0.005941
                  43,            0.061504,            0.041724,            0.026749,             0.74086,             0.29551,             0.27584,             0.11676,            0.058419,            0.025483,            0.030106,            0.005842,            0.005842,            0.005842
                  44,            0.061971,            0.041704,            0.026385,             0.59257,             0.23374,              0.2049,            0.086682,            0.061236,            0.025442,            0.031692,            0.005743,            0.005743,            0.005743
                  45,            0.061422,            0.043617,            0.027287,              0.6384,             0.27357,             0.27448,             0.12262,            0.057114,             0.02429,            0.029551,            0.005644,            0.005644,            0.005644
                  46,            0.060852,             0.04041,            0.029109,             0.76122,             0.24726,             0.29677,             0.12013,            0.056922,             0.02489,            0.030882,            0.005545,            0.005545,            0.005545
                  47,            0.062159,            0.043083,            0.025971,              0.7608,             0.21182,             0.27737,             0.12533,            0.056762,            0.026764,            0.028461,            0.005446,            0.005446,            0.005446
                  48,            0.060519,            0.042482,            0.025952,             0.65482,             0.20087,             0.21377,            0.098871,            0.063256,            0.025951,            0.031269,            0.005347,            0.005347,            0.005347
                  49,            0.059722,             0.04084,            0.026158,             0.79098,             0.25461,             0.26419,             0.12251,            0.057732,            0.025389,            0.029067,            0.005248,            0.005248,            0.005248
                  50,            0.061074,            0.040749,            0.025832,             0.74802,             0.23157,             0.22955,            0.099683,            0.060332,            0.027222,            0.030354,            0.005149,            0.005149,            0.005149
                  51,            0.060108,            0.039082,            0.025302,             0.41461,             0.25737,             0.22781,            0.092861,            0.058678,            0.025768,            0.032708,             0.00505,             0.00505,             0.00505
                  52,            0.059917,            0.041456,             0.02509,             0.72068,             0.29213,             0.29245,             0.13568,              0.0563,            0.025179,             0.02677,            0.004951,            0.004951,            0.004951
                  53,            0.059923,             0.04194,            0.025556,             0.60755,             0.31808,             0.27959,             0.12743,            0.056083,            0.024458,             0.02832,            0.004852,            0.004852,            0.004852
                  54,                0.06,            0.039685,            0.025684,             0.76869,             0.31757,             0.32252,             0.14973,            0.056174,            0.024845,            0.026948,            0.004753,            0.004753,            0.004753
                  55,            0.059219,            0.039919,            0.024751,             0.60832,              0.3146,             0.28524,             0.13388,             0.05674,            0.025367,            0.028749,            0.004654,            0.004654,            0.004654
                  56,            0.058315,            0.040573,            0.024882,             0.72795,             0.29046,             0.31967,             0.14604,            0.055596,             0.02549,            0.026159,            0.004555,            0.004555,            0.004555
                  57,            0.058134,            0.039813,            0.023247,             0.76648,             0.28658,              0.3091,             0.13783,            0.056845,            0.023816,            0.027604,            0.004456,            0.004456,            0.004456
                  58,            0.058524,            0.039443,             0.02367,             0.49242,             0.26949,             0.29673,             0.12686,             0.05684,            0.024279,            0.027308,            0.004357,            0.004357,            0.004357
                  59,            0.058732,            0.038897,            0.025001,             0.70343,             0.21156,             0.22873,            0.096792,            0.062059,            0.027751,            0.031695,            0.004258,            0.004258,            0.004258
                  60,             0.05857,            0.041282,            0.024684,             0.70281,             0.27206,             0.29553,             0.13443,            0.055625,            0.024007,            0.027475,            0.004159,            0.004159,            0.004159
                  61,            0.057994,            0.042275,            0.024566,             0.80953,             0.26585,             0.31309,             0.15127,            0.058622,             0.02266,            0.026852,             0.00406,             0.00406,             0.00406
                  62,            0.057202,            0.041791,            0.023464,             0.73586,             0.27271,             0.30111,             0.13438,            0.055182,            0.023713,            0.026712,            0.003961,            0.003961,            0.003961
                  63,            0.057278,            0.037595,            0.025117,             0.71498,             0.27794,              0.3245,             0.13126,            0.056987,            0.023873,            0.028348,            0.003862,            0.003862,            0.003862
